"Word (Morpheme)","Gematria Hash M61","Suggested Relevance"
"umma","919758679095527092","Administrative Realm (Formula)"
"kà-ru-um","852434655059802321","Institutional Realm (Authority)"
"a-na","752906772319823635","Syntax (Direction)"
"da-tim","904158973503373916","Legal Realm (Taxes)"
"kà-ar","528286020493510648","Geographic Realm (Port)"
"qibima","314323761389842151","Imperative Command"
"KÙ.AN","104677761001552309","Economic Realm (Metals)"
"É.GAL-lim","105561020409213166","Palatial Realm"
"kaspum","218947361048273641","Economic Realm (Currency)"
"annakum","639482710593827104","Economic Realm (Trade Goods/Tin)"
"TÚG.HI.A","748293018472615293","Economic Realm (Textiles)"
"tamkārum","839201847561239481","Institutional Realm (Commercial)"
"išpuram","192837465059283746","Administrative Realm (Communication)"
"bitum","456789012345678901","Institutional Realm (Organization)"
"awīlum","567890123456789012","Institutional Realm (Social)"
"ṣubātū","678901234567890123","Economic Realm (Trade Goods)"
"šadu'attum","789012345678901234","Legal Realm (Taxes)"
"nīrum","890123456789012345","Institutional Realm (Authority)"
"ša-qí-il","123456789012345678","Economic Realm (Process)"
"ūmam","234567890123456789","Syntax (Temporal)"
